TxtMin_WordBag,FREQUENCY,Value
build,5,1
business,5,1
certain,5,1
changes,5,1
comes,5,1
company,5,1
complaint,5,1
console,5,1
converter,5,1
cost,5,1
course,5,1
crossword,5,1
die,5,0
dollar,5,1
drawing,5,1
english,5,1
fab,5,1
fair,5,1
fans,5,1
farm,5,1
feeling,5,1
figured,5,1
fishing,5,0
flawless,5,0
gold,5,1
goodgreat,5,1
gun,5,0
hand,5,1
harder,5,1
heard,5,1
heart,5,1
htc,5,1
impossible,5,1
impressed,5,1
info,5,1
load,5,1
map,5,1
market,5,1
moment,5,1
monster,5,0
move,5,1
nexus,5,1
nicely,5,1
pack,5,1
panda,5,1
park,5,1
penny,5,1
picture,5,1
place,5,1
point,5,1
pop,5,1
port,5,1
possible,5,1
provide,5,1
pull,5,1
race,5,1
reading,5,1
recent,5,1
relax,5,1
released,5,1
rest,5,1
review,5,1
salon,5,1
saves,5,1
saw,5,1
score,5,1
scores,5,1
season,5,1
send,5,1
sequel,5,1
sharing,5,1
shows,5,1
shut,5,1
side,5,1
sonic,5,1
stories,5,1
suck,5,0
talk,5,1
test,5,1
trouble,5,1
value,5,1
view,5,1
ways,5,1
wife,5,1
wifi,5,1
youtube,5,1
action,4,1
age,4,1
alone,4,1
american,4,1
animation,4,1
answer,4,1
appamazing,4,1
apple,4,1
appsuper,4,1
arcade,4,1
asking,4,1
backup,4,1
bass,4,1
bed,4,1
bells,4,1
bet,4,1
bikes,4,1
block,4,1
blowing,4,1
books,4,1
boss,4,1
broke,4,0
cakes,4,1
campaign,4,1
cartoon,4,1
cat,4,1
cell,4,1
chance,4,1
clothes,4,1
code,4,1
comments,4,1
constantly,4,1
correct,4,1
country,4,1
created,4,1
credit,4,1
crosswords,4,1
custom,4,1
customer,4,1
customization,4,1
downloads,4,1
dream,4,1
duty,4,1
efficient,4,1
energy,4,1
entire,4,1
errors,4,1
exit,4,0
expect,4,1
extremely,4,1
facts,4,0
fault,4,0
fieldrunners,4,1
flashlight,4,1
fly,4,1
food,4,1
forget,4,0
functional,4,1
functions,4,1
fungreat,4,1
gps,4,1
grabs,4,1
helicopter,4,1
hell,4,0
hint,4,1
huge,4,1
icon,4,1
important,4,1
improvement,4,1
instagram,4,1
instead,4,1
itamazing,4,1
items,4,1
killing,4,0
kitkat,4,1
lack,4,0
lane,4,1
languages,4,1
laptop,4,1
large,4,1
layout,4,1
list,4,1
loading,4,1
local,4,1
locked,4,1
looked,4,1
lover,4,1
manager,4,1
maps,4,1
meet,4,1
might,4,1
min,4,1
minecraft,4,1
mini,4,1
mom,4,1
morning,4,1
moves,4,1
multi,4,1
none,4,0
notifications,4,1
numbers,4,1
often,4,1
olds,4,1
onegreat,4,1
packs,4,1
parts,4,1
passing,4,1
personally,4,1
playhome,4,1
plenty,4,1
possibly,4,1
preschool,4,1
provides,4,1
putting,4,1
reasons,4,1
recording,4,1
red,4,0
regular,4,1
release,4,1
reliable,4,1
repetitive,4,1
request,4,1
required,4,1
robot,4,1
rock,4,1
room,4,1
rules,4,1
rummy,4,1
setting,4,1
shooting,4,0
sim,4,1
sleep,4,1
smart,4,1
smoothly,4,1
software,4,1
solid,4,1
soundtrack,4,1
spider,4,1
spin,4,1
spot,4,1
stable,4,1
stargreat,4,1
starts,4,1
stopped,4,0
storyline,4,1
strategy,4,1
stress,4,1
system,4,1
tap,4,1
taught,4,1
teaches,4,1
teen,4,1
temple,4,1
thanksgreat,4,1
thomas,4,1
thumb,4,1
till,4,1
told,4,1
tricks,4,1
trips,4,1
trust,4,1
twinkle,4,1
twitter,4,1
updating,4,1
upgrade,4,1
usa,4,1
various,4,1
video,4,1
walking,4,1
wallet,4,1
weapons,4,0
wild,4,1
xperia,4,1
zero,4,0
zombies,4,1
zoom,4,1
worthlessapp,1641,0
play,391,1
get,373,0
cant,353,0
work,335,0
fix,316,0
waste,302,0
just,297,0
even,293,0
dont,290,0
time,273,0
like,269,0
please,257,1
update,218,0
wont,215,0
doesnt,205,0
money,193,0
can,182,0
hate,166,0
screen,165,0
download,155,0
one,152,0
phone,149,0
want,146,1
back,145,0
worthlessapps,139,0
really,138,0
still,128,0
bad,117,0
keeps,107,0
load,107,0
worst,107,0
paid,106,0
new,105,1
need,103,0
make,99,0
way,99,1
ever,95,0
got,94,1
great,94,0
use,94,1
try,93,0
version,93,0
fun,92,0
many,88,0
stars,88,0
used,86,1
buy,84,1
never,82,0
free,81,1
pay,81,1
nothing,79,0
galaxy,77,0
level,76,1
refund,76,1
tried,75,0
crashes,74,0
sucks,74,0
first,73,1
didnt,71,0
better,70,1
play,70,1
always,69,0
downloaded,68,0
slow,68,0
error,67,0
times,67,1
start,64,0
bought,63,0
know,62,1
keep,61,1
since,61,1
last,60,0
install,59,1
stupid,59,0
loading,56,1
anything,55,1
problem,55,0
star,55,1
things,55,1
works,55,1
everything,53,1
spoil,53,0
needs,52,0
rate,52,1
freezes,51,0
getting,51,0
going,51,0
right,50,1
samsung,50,1
boring,49,0
data,49,1
hard,49,0
pop,49,0
thing,49,1
able,48,0
takes,48,1
thats,48,0
people,47,1
annoying,46,0
app,46,1
fine,46,1
help,46,0
ill,46,0
black,45,0
coins,45,1
full,45,1
note,45,1
without,45,0
using,44,0
crashing,43,0
issue,43,0
lost,43,0
add,42,1
click,42,1
log,42,1
real,42,1
show,42,1
fixed,41,0
ad,39,0
connection,39,1
stopped,39,0
tablet,39,1
device,38,1
find,38,0
google,38,1
hated,38,0
saying,38,1
shows,38,1
irritating,37,0
terrible,36,0
worked,36,1
worth,36,0
internet,35,1
levels,35,1
longer,35,0
anymore,34,1
lot,34,1
minutes,34,0
old,34,0
two,34,0
button,33,1
change,33,0
big,32,1
close,32,0
makes,32,0
something,32,1
wrong,32,0
disworthlessappointed,31,0
force,31,0
graphics,31,1
home,31,1
nice,31,0
option,31,0
played,31,0
poor,31,0
purchased,31,1
turn,31,0
useless,31,0
video,31,0
well,31,0
account,30,1
closes,30,0
come,30,1
connect,30,0
hell,30,0
horrible,30,0
installed,30,1
long,30,0
move,30,1
past,30,0
save,30,1
stuff,30,0
take,30,1
thought,30,0
uninstalled,30,0
lose,29,0
music,29,1
nexus,29,0
run,29,1
seems,29,1
theres,29,0
win,29,1
actually,28,0
progress,28,0
wouldnt,28,0
another,27,1
enough,27,1
gone,27,0
problems,27,0
access,26,1
already,26,0
fake,26,0
issues,26,0
looks,26,1
page,26,1
rating,26,0
soon,26,1
adds,25,0
almost,25,1
bugs,25,0
check,25,0
constantly,25,0
crash,25,0
least,25,0
little,25,1
service,25,0
son,25,1
sound,25,0
stuck,25,0
uninstall,25,0
went,25,0
bug,24,0
complete,24,1
couldnt,24,0
day,24,1
done,24,1
far,24,0
made,24,1
months,24,0
opening,24,1
started,24,0
uninstalling,24,0
updates,24,0
wanted,24,0
away,23,0
easy,23,0
hit,23,0
loads,23,1
love,23,1
name,23,1
player,23,1
though,23,0
today,23,1
battery,22,0
daughter,22,0
delete,22,0
different,22,0
look,22,0
maybe,22,0
paying,22,1
pictures,22,0
plus,22,1
properly,22,1
trying,22,0
wifi,22,1
crap,21,0
days,21,0
game,21,0
half,21,0
worthlessappy,21,0
read,21,1
seconds,21,1
shitty,21,0
stop,21,0
support,21,0
comes,20,0
controls,20,0
developers,20,0
email,20,1
good,20,1
hope,20,1
hours,20,1
lollipop,20,1
making,20,1
menu,20,1
picture,20,1
spend,20,0
tab,20,1
choose,19,1
content,19,0
kept,19,0
latest,19,1
mobile,19,1
point,19,1
reason,19,0
search,19,0
single,19,0
sometimes,19,0
speed,19,0
unable,19,0
unlock,19,0
updated,19,0
whole,19,0
deleted,18,0
enjoy,18,0
everytime,18,0
forever,18,0
higher,18,0
impossible,18,0
lag,18,0
restart,18,0
runs,18,0
showing,18,1
sign,18,1
space,18,1
starting,18,0
starts,18,0
tell,18,0
top,18,1
upgrade,18,0
whats,18,0
automatically,17,1
blank,17,0
call,17,0
card,17,0
control,17,0
cool,17,0
fast,17,0
feel,17,0
freezing,17,0
glitches,17,0
lags,17,0
message,17,0
month,17,0
network,17,0
pick,17,0
response,17,0
someone,17,1
twice,17,0
video,17,0
wait,17,0
wasnt,17,0
wasted,17,0
wish,17,1
worse,17,0
allow,16,1
calls,16,0
camera,16,1
cars,16,1
downloading,16,0
end,16,0
features,16,1
gave,16,0
gonna,16,0
lame,16,0
notifications,16,1
points,16,0
second,16,1
shame,16,0
text,16,1
unless,16,0
ups,16,1
watch,16,1
board,15,0
difficult,15,0
either,15,0
else,15,0
favorite,15,1
letters,15,0
location,15,0
looking,15,0
low,15,0
online,15,1
otherwise,15,0
pass,15,1
pretty,15,1
store,15,1
telling,15,0
unfortunately,15,0
worthlessappnot,15,0
anyone,14,0
around,14,0
awful,14,0
missing,14,0
place,14,1
press,14,0
ridiculous,14,0
running,14,1
seriously,14,0
sounds,14,0
stops,14,0
thank,14,0
completely,13,0
constant,13,1
gems,13,1
hear,13,0
less,13,0
lots,13,1
map,13,1
next,13,1
number,13,1
options,13,0
others,13,1
phones,13,1
reading,13,1
reset,13,0
score,13,1
send,13,1
server,13,1
system,13,1
team,13,1
total,13,1
years,13,1
zero,13,0
amazing,12,1
audio,12,1
auto,12,1
available,12,0
closing,12,0
crashed,12,0
deleting,12,0
extra,12,0
glitchy,12,0
hates,12,0
login,12,1
messages,12,1
pops,12,1
possible,12,1
post,12,1
quality,12,1
random,12,1
rather,12,0
serious,12,0
thanks,12,1
unplayable,12,0
wasting,12,0
arent,11,0
book,11,1
bother,11,0
changed,11,0
connected,11,1
dumb,11,0
expensive,11,0
failed,11,0
froze,11,0
high,11,1
hr,11,1
improve,11,0
liked,11,1
profile,11,0
recommend,11,0
rip,11,0
roll,11,0
ruined,11,0
several,11,0
short,11,0
shouldnt,11,0
spent,11,0
super,11,0
view,11,0
weather,11,1
whenever,11,0
youre,11,0
absolutely,10,0
address,10,0
clear,10,0
jump,10,0
later,10,0
leave,10,0
min,10,0
moving,10,1
power,10,1
previous,10,0
probably,10,0
purchases,10,1
reinstall,10,0
remove,10,0
small,10,0
suck,10,0
sudden,10,0
updating,10,0
upset,10,0
alot,9,1
ball,9,1
basically,9,1
buggy,9,0
cab,9,1
chance,9,1
code,9,1
continue,9,1
cost,9,1
freeze,9,0
fully,9,1
